Reference,Value,LCSC,Footprint,Description
PP2_13,POGO_C2_CH3_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_14,POGO_C2_CH3_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_15,POGO_C2_CH3_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_16,POGO_C2_RTD_FP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_17,POGO_C2_RTD_FN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_18,POGO_C2_RTD_SP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_19,POGO_C2_RTD_SN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_0,POGO_C3_CH0_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_1,POGO_C3_CH0_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_2,POGO_C3_CH0_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_3,POGO_C3_CH0_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_4,POGO_C3_CH1_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_5,POGO_C3_CH1_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_6,POGO_C3_CH1_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_7,POGO_C3_CH1_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_8,POGO_C3_CH2_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_9,POGO_C3_CH2_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_10,POGO_C3_CH2_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_11,POGO_C3_CH2_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_12,POGO_C3_CH3_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_13,POGO_C3_CH3_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_14,POGO_C3_CH3_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_15,POGO_C3_CH3_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_16,POGO_C3_RTD_FP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_17,POGO_C3_RTD_FN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_18,POGO_C3_RTD_SP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP3_19,POGO_C3_RTD_SN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_0,POGO_C4_CH0_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_1,POGO_C4_CH0_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_2,POGO_C4_CH0_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_3,POGO_C4_CH0_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_4,POGO_C4_CH1_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_5,POGO_C4_CH1_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_6,POGO_C4_CH1_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_7,POGO_C4_CH1_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_8,POGO_C4_CH2_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_9,POGO_C4_CH2_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_10,POGO_C4_CH2_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_11,POGO_C4_CH2_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_12,POGO_C4_CH3_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_13,POGO_C4_CH3_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_14,POGO_C4_CH3_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_15,POGO_C4_CH3_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_16,POGO_C4_RTD_FP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_17,POGO_C4_RTD_FN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_18,POGO_C4_RTD_SP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP4_19,POGO_C4_RTD_SN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_0,POGO_C5_CH0_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_1,POGO_C5_CH0_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_2,POGO_C5_CH0_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_3,POGO_C5_CH0_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_4,POGO_C5_CH1_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_5,POGO_C5_CH1_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_6,POGO_C5_CH1_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_7,POGO_C5_CH1_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_8,POGO_C5_CH2_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_9,POGO_C5_CH2_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_10,POGO_C5_CH2_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_11,POGO_C5_CH2_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_12,POGO_C5_CH3_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_13,POGO_C5_CH3_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_14,POGO_C5_CH3_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_15,POGO_C5_CH3_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_16,POGO_C5_RTD_FP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_17,POGO_C5_RTD_FN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_18,POGO_C5_RTD_SP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP5_19,POGO_C5_RTD_SN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
